Wall time,Step,Value
1748392680.7826934,3555328,-52.11225128173828
1748392700.9340994,3571712,-80.13829040527344
1748392720.947182,3588096,-98.72865295410156
1748392741.0958478,3604480,-82.13983917236328
1748392761.626588,3620864,-44.23064422607422
1748392781.7206204,3637248,-59.22780227661133
1748392801.8582172,3653632,-62.9724235534668
1748392821.9683135,3670016,-60.32319641113281
1748392842.05538,3686400,-50.2713737487793
1748392862.1774116,3702784,-58.536224365234375
1748392882.520008,3719168,-64.30445098876953
1748392902.4616733,3735552,-53.530704498291016
1748392922.4910018,3751936,-59.73252868652344
1748392942.513486,3768320,-59.02823257446289
1748392962.5238466,3784704,-60.46951675415039
1748392982.7163653,3801088,-59.35985565185547
1748393003.2606413,3817472,-57.82815933227539
1748393023.2928193,3833856,-55.741031646728516
1748393043.6124055,3850240,-53.78024673461914
1748393063.7895749,3866624,-55.933616638183594
1748393083.7599597,3883008,-61.45797348022461
1748393103.885425,3899392,-57.148136138916016
1748393124.1384923,3915776,-76.05027770996094
1748393144.2703757,3932160,-61.94792938232422
1748393164.3903136,3948544,-66.45833587646484
1748393184.3501744,3964928,-74.08428955078125
1748393204.3790927,3981312,-72.86450958251953
1748393224.4769967,3997696,-76.90708923339844
1748393244.7993367,4014080,-91.94837951660156
1748393264.6926444,4030464,-164.72567749023438
1748393284.9380548,4046848,-157.0288543701172
1748393304.9724903,4063232,-188.5588836669922
1748393324.9438555,4079616,-154.3617706298828
1748393344.9524539,4096000,-187.40225219726562
1748393365.4838629,4112384,-168.85287475585938
1748393385.6667612,4128768,-119.50950622558594
1748393405.657087,4145152,-138.65884399414062
1748393425.7814355,4161536,-148.2742462158203
1748393445.6532655,4177920,-156.4007568359375
1748393465.655898,4194304,-127.35958099365234
1748393485.9916203,4210688,-121.80424499511719
1748393506.111395,4227072,-111.94944763183594
1748393526.1308157,4243456,-106.85160064697266
1748393546.187413,4259840,-136.87042236328125
1748393566.1963341,4276224,-123.821044921875
1748393586.646374,4292608,-99.96925354003906
1748393606.808514,4308992,-107.02706146240234
1748393627.4783895,4325376,-94.52387237548828
1748393647.6268861,4341760,-91.35824584960938
1748393667.70093,4358144,-106.33599090576172
1748393687.8413665,4374528,-92.9322509765625
1748393707.9406714,4390912,-120.31641387939453
1748393728.2799425,4407296,-99.4934310913086
1748393748.7400393,4423680,-87.75740814208984
1748393768.732426,4440064,-95.1053237915039
1748393788.7439332,4456448,-92.38797760009766
1748393808.7653995,4472832,-85.53456115722656
1748393828.8418605,4489216,-88.10031127929688
1748393848.8673804,4505600,-95.40528869628906
1748393869.3535097,4521984,-102.99354553222656
1748393889.3317285,4538368,-102.24652862548828
1748393909.2810333,4554752,-95.171142578125
1748393929.4034233,4571136,-84.35323333740234
1748393949.4812858,4587520,-99.73832702636719
1748393969.453437,4603904,-126.21432495117188
1748393989.8846478,4620288,-107.48368072509766
1748394010.1469736,4636672,-109.28459167480469
1748394030.2011142,4653056,-96.66355895996094
1748394050.3802173,4669440,-87.22457885742188
1748394070.3292384,4685824,-93.87688446044922
1748394090.3270738,4702208,-75.39967346191406
1748394110.844846,4718592,-89.5037612915039
1748394130.8151016,4734976,-82.97563934326172
1748394150.6938992,4751360,-93.15995025634766
1748394170.8172748,4767744,-97.8038558959961
1748394190.7605643,4784128,-80.4687271118164
1748394210.9675524,4800512,-91.16859436035156
1748394231.3198016,4816896,-69.88604736328125
1748394251.3059468,4833280,-75.85884094238281
1748394271.565825,4849664,-85.1335220336914
1748394291.6381106,4866048,-103.42414855957031
1748394311.4959168,4882432,-82.33428192138672
1748394331.560618,4898816,-72.51160430908203
1748394351.9782612,4915200,-80.83164978027344
1748394372.0576212,4931584,-64.14256286621094
1748394392.0898516,4947968,-52.998287200927734
1748394412.2141538,4964352,-61.46019744873047
1748394432.1830308,4980736,-56.88875961303711
1748394452.2738128,4997120,-67.25173950195312
1748394472.7962315,5013504,-71.55477905273438
1748394492.8194864,5029888,-69.4114761352539
1748394512.8195803,5046272,-53.18153381347656
1748394532.8710823,5062656,-69.81947326660156
1748394552.8647847,5079040,-76.90094757080078
1748394572.8844466,5095424,-50.585426330566406
1748394593.2991877,5111808,-34.42013931274414
1748394613.216059,5128192,-38.46249771118164
1748394633.1722817,5144576,-31.14582633972168
